match_id,innings_number,player_hash,batting_position
1128837,1,086f5984,10
1128837,1,a8e3170f,11
1128837,2,1777c020,1
1128837,2,ed90abe4,2
1128837,2,89c16049,3
1128837,2,ebd1ab1f,4
1128837,2,b8a55852,5
1128837,2,1ff2f550,6
1128838,1,2e8994e7,1
1128838,1,0fa5042b,2
1128838,1,bb4b445b,3
1128838,1,9de62878,4
1128838,1,0a4736eb,5
1128838,1,bd4ea627,6
1128838,2,ff077124,1
1128838,2,1bae756b,2
1128838,2,35205dfc,3
1128838,2,9ab63e7b,4
1128838,2,fce581b5,5
1128838,2,4a461c24,6
1128838,2,c03c6200,7
1128838,2,2911de16,8
1128838,2,b3118300,9
1128838,2,f69f1d8a,10
1128838,2,a6fc52a9,11
1128839,1,89f64c19,1
1128839,1,bdadf7da,2
1128839,1,8a75e999,3
1128839,1,c995d726,4
1128839,1,7ca5e05d,5
1128839,2,6b71e6cf,1
1128839,2,f8fd6e3f,2
1128839,2,b98b5e1c,3
1128839,2,64c34cd0,4
1128839,2,a757b0d8,5
1128839,2,e5d452d7,6
1128839,2,a316d663,7
1128839,2,64d43928,8
1128839,2,acee4cc4,9
1128839,2,086f5984,10
1128839,2,a8e3170f,11
1128840,1,9ab63e7b,1
1128840,1,ff077124,2
1128840,1,35205dfc,3
1128840,1,90f47cf2,4
1128840,1,fce581b5,5
1128840,1,4a461c24,6
1128840,1,c03c6200,7
1128840,2,50250426,1
1128840,2,4329fbb5,2
1128840,2,39f01cdb,3
1128840,2,e191bf68,4
1128840,2,cad00a4d,5
1128840,2,2254ab79,6
1128841,1,89f64c19,1
1128841,1,bdadf7da,2
1128841,1,8a75e999,3
1128841,1,c995d726,4
1128841,1,7ca5e05d,5
1128841,1,0dc00542,6
1128841,1,9cb8d7a6,7
1128841,2,1777c020,1
1128841,2,ed90abe4,2
1128841,2,89c16049,3
1128841,2,9d430b40,4
1128841,2,b8a55852,5
1128841,2,1ff2f550,6
1128841,2,5af743d0,7
1128841,2,51a3c5ef,8
1128841,2,ebd1ab1f,9
1128841,3,1777c020,1
1128841,3,b8a55852,2
1128841,3,ed90abe4,3
1128841,4,89f64c19,1
1128841,4,c995d726,2
1128841,4,0dc00542,3
1128842,1,0fa5042b,1
1128842,1,2e8994e7,2
1128842,1,92aeac25,3
1128842,1,bb4b445b,4
1128842,1,0a4736eb,5
1128842,1,bd4ea627,6
1128842,2,6b71e6cf,1
1128842,2,f8fd6e3f,2
1128842,2,e5d452d7,3
1128842,2,b98b5e1c,4
1128842,2,64c34cd0,5
1128842,2,a757b0d8,6
1128842,2,d346d939,7
1128842,2,64d43928,8
1128842,2,16dfcc19,9
1128842,2,acee4cc4,10
1128842,2,a8e3170f,11
1128843,1,1777c020,1
1128843,1,ed90abe4,2
1128843,1,89c16049,3
1128843,1,b8a55852,4
1128843,1,ebd1ab1f,5
1128843,1,9d430b40,6
1128843,2,d1c36f5c,1
1128843,2,4329fbb5,2
1128843,2,39f01cdb,3
1128843,2,e191bf68,4
1128843,2,cad00a4d,5
1128843,2,eb2d5fe7,6
1128843,2,2254ab79,7
1128843,2,3086f7a4,8
1128844,1,9ab63e7b,1
1128844,1,ff077124,2
1128844,1,35205dfc,3
1128844,1,90f47cf2,4
1128844,1,3fbb43a9,5
1128844,1,c03c6200,6
1128844,1,4a461c24,7
1128844,2,8a75e999,1
1128844,2,bdadf7da,2
1128844,2,c995d726,3
1128844,2,d2a6c0e6,4
